nom,date,cumulative_contacts_isolated
Mongbalu,2026-05-14,ND
Mongbalu,2026-05-15,3
Rwampara,2026-05-15,5
Bunia,2026-05-15,4
Mongbalu,2026-05-18,12
Rwampara,2026-05-18,51
Bunia,2026-05-18,13
Nyakunde,2026-05-18,3
Mongbalu,2026-05-19,16
Rwampara,2026-05-19,44
Bunia,2026-05-19,43
Nyakunde,2026-05-19,8
Komanda,2026-05-19,2
Mangala,2026-05-19,1
Mongbalu,2026-05-20,22
Rwampara,2026-05-20,69
Bunia,2026-05-20,73
Nyakunde,2026-05-20,17
Bambu,2026-05-20,ND
Mongbalu,2026-05-21,23
Rwampara,2026-05-21,81
Bunia,2026-05-21,114
Nyakunde,2026-05-21,26
Nizi,2026-05-21,ND
Kilo,2026-05-21,ND
Mongbalu,2026-05-22,30
Rwampara,2026-05-22,132
Bunia,2026-05-22,142
Nyakunde,2026-05-22,6
Nizi,2026-05-22,1
Kilo,2026-05-22,ND
Komanda,2026-05-22,1
Tchomia,2026-05-22,1
Adi,2026-05-22,5
Mongbalu,2026-05-23,30
Rwampara,2026-05-23,92
Bunia,2026-05-23,164
Nyakunde,2026-05-23,6
Nizi,2026-05-23,1
Kilo,2026-05-23,8
Aru,2026-05-23,1
Mongbalu,2026-05-24,ND
Rwampara,2026-05-24,ND
Bunia,2026-05-24,ND
Nyakunde,2026-05-24,ND
Nizi,2026-05-24,ND
Kilo,2026-05-24,ND
Aru,2026-05-24,ND
