nom,date,new_contacts_listed
Mongbalu,14/05/2026,82
Mongbalu,15/05/2026,ND
Rwampara,15/05/2026,ND
Bunia,15/05/2026,ND
Mongbalu,18/05/2026,79
Rwampara,18/05/2026,120
Bunia,18/05/2026,127
Nyakunde,18/05/2026,133
Mongbalu,19/05/2026,15
Rwampara,19/05/2026,215
Bunia,19/05/2026,76
Nyakunde,19/05/2026,0
Komanda,19/05/2026,ND
Mangala,19/05/2026,ND
Mongbalu,20/05/2026,0
Rwampara,20/05/2026,286
Bunia,20/05/2026,0
Nyakunde,20/05/2026,0
Bambu,20/05/2026,128
Mongbalu,21/05/2026,0
Rwampara,21/05/2026,0
Bunia,21/05/2026,87
Nyakunde,21/05/2026,207
Nizi,21/05/2026,0
Kilo,21/05/2026,0
Mongbalu,22/05/2026,46
Rwampara,22/05/2026,0
Bunia,22/05/2026,87
Nyakunde,22/05/2026,25
Nizi,22/05/2026,0
Kilo,22/05/2026,176
Aru,22/05/2026,0
Mongbalu,23/05/2026,0
Rwampara,23/05/2026,0
Bunia,23/05/2026,43
Nyakunde,23/05/2026,0
Nizi,23/05/2026,7
Kilo,23/05/2026,ND
Aru,23/05/2026,ND
Bambu,23/05/2026,55
Mongbalu,24/05/2026,0
Rwampara,24/05/2026,0
Bunia,24/05/2026,0
Nyakunde,24/05/2026,0
Nizi,24/05/2026,0
Kilo,24/05/2026,0
Aru,24/05/2026,0
Bambu,24/05/2026,0
Butembo,24/05/2026,22
Goma,24/05/2026,28
Katwa,24/05/2026,99
Karisimbi,24/05/2026,249
Kyondo,24/05/2026,16
Mongbalu,25/05/2026,0
Rwampara,25/05/2026,0
Bunia,25/05/2026,0
Nyakunde,25/05/2026,0
Nizi,25/05/2026,0
Kilo,25/05/2026,0
Aru,25/05/2026,0
Bambu,25/05/2026,0
Butembo,25/05/2026,0
Goma,25/05/2026,0
Katwa,25/05/2026,0
Karisimbi,25/05/2026,0
Kyondo,25/05/2026,0
Mongbalu,26/05/2026,0
Rwampara,26/05/2026,0
Bunia,26/05/2026,0
Nyakunde,26/05/2026,0
Nizi,26/05/2026,0
Kilo,26/05/2026,0
Aru,26/05/2026,0
Bambu,26/05/2026,0
Butembo,26/05/2026,0
Goma,26/05/2026,0
Katwa,26/05/2026,0
Karisimbi,26/05/2026,0
Kyondo,26/05/2026,0
