beta_I,beta_FR,phi0,theta_N,alpha,gamma_comm,delta_C,phi_obs,R0
0.80089075,1.4643984,0.37457291,0.028771325,0.046290617,0.0068548416,0.03655759,0.73052826,2.1124414
0.89146948,1.3279245,0.47166762,0.039274,0.042949708,0.013224182,0.046981124,1.1193477,2.4374741
0.78703743,1.8416613,0.3128829,0.04199385,0.041517594,0.029603502,0.051220032,0.62908892,1.9674783
0.91369494,1.5857569,0.47540032,0.046778765,0.037803158,0.022300219,0.03738864,0.900535,2.4913864
0.81511719,1.9744282,0.338033,0.042409995,0.023489275,0.026103048,0.026011521,0.61488984,2.0764646
0.75750352,1.3335754,0.29429272,0.041322897,0.058808143,0.014888086,0.033439612,0.4699965,1.8528416
0.63829136,2.0493169,0.29569961,0.044368738,0.036060924,0.045545539,0.06501331,0.67146945,1.615305
0.7775338,2.1826692,0.3201775,0.045621522,0.029219173,0.012493225,0.023374479,0.50156001,1.9654092
0.78358297,1.6657296,0.39673798,0.042938629,0.043494415,0.017591169,0.023293782,0.44109085,2.0730702
0.80220533,1.6332483,0.35767998,0.038704802,0.057229903,0.013510706,0.015083847,0.64378215,2.0680595
0.88338906,1.5720111,0.41606151,0.036316058,0.089094133,0.012788695,0.016791393,0.90396656,2.3596526
0.79939502,1.6530267,0.46613951,0.042562879,0.044951645,0.038846449,0.064559805,0.99841692,2.2202066
0.87586653,1.7011312,0.34289204,0.042680052,0.037543762,0.012968887,0.044905381,0.99096151,2.2063615
0.75380066,1.6151395,0.4281827,0.037041666,0.042533443,0.040998222,0.069242657,0.60206762,2.0661471
0.75770779,1.8926771,0.28107191,0.044563043,0.037518144,0.032006023,0.030480491,0.38211347,1.851729
0.80844707,1.6037324,0.39697496,0.04131987,0.01213867,0.012722549,0.10943444,1.2780823,2.1329562
0.80556032,1.5459675,0.44568969,0.039296454,0.050991616,0.030236403,0.017895193,0.42108453,2.2050547
0.79385797,1.6119876,0.39436325,0.041803704,0.049638849,0.015551454,0.013116325,0.43981108,2.09339
0.86702945,1.6056876,0.31808339,0.035770306,0.017173167,0.0087335707,0.051368019,0.84950915,2.1621956
0.84867733,1.6399884,0.32577953,0.036772459,0.019624207,0.013104,0.072923237,0.78331244,2.1314652
0.88482825,1.4873321,0.39634805,0.042072746,0.020051417,0.033885712,0.076032789,2.1323128,2.3012892
0.86364311,1.5767967,0.39509891,0.032935664,0.021817091,0.0074172201,0.031692945,1.0779108,2.2899628
0.74869633,1.9288344,0.38485553,0.050266189,0.040110534,0.057840025,0.04413671,0.50920708,1.9700343
0.87282177,1.5001171,0.38907069,0.033267477,0.051200184,0.011326445,0.067446993,0.62394704,2.2946094
0.98863037,1.228154,0.42798608,0.034207263,0.03292813,0.039807998,0.069744077,1.0542342,2.6159997
0.79451098,1.8427058,0.40503311,0.044508294,0.015789691,0.016793118,0.047184445,1.2874615,2.1204305
0.82589093,1.6951141,0.48210636,0.037566275,0.023561268,0.022005573,0.040266029,0.98227759,2.3379854
0.806021,1.68663,0.43264196,0.033350615,0.028770396,0.022300761,0.046024823,1.3090689,2.2213592
0.73196707,1.9638244,0.33426085,0.038994103,0.056585582,0.02390589,0.093867947,1.5401513,1.8895594
0.83769517,1.532625,0.36909006,0.055791145,0.017257024,0.022488562,0.047329561,0.4034231,2.1081341
0.82908383,1.6881269,0.32979749,0.048791385,0.014034582,0.013393928,0.058550917,0.41197375,2.0610202
0.79140627,1.6725309,0.30526203,0.036609726,0.10150002,0.038359476,0.045726762,1.3652934,1.9716354
0.92487544,1.6129881,0.42435563,0.044486604,0.013407251,0.013332472,0.04299087,0.65473915,2.443815
0.84906281,1.4388838,0.44206558,0.038102254,0.013780975,0.046381367,0.10535754,0.60662343,2.3004131
0.84849259,1.1777459,0.38390903,0.049853079,0.050024452,0.033836642,0.04147199,0.88497656,2.1485758
0.81301972,1.6285049,0.31396033,0.037279568,0.021423438,0.01169678,0.041350145,0.55845355,2.0297198
0.72919649,1.4891884,0.53647296,0.033135989,0.055339397,0.0083997499,0.063171382,0.4745663,2.1750882
0.77593995,1.7434515,0.28321123,0.048810574,0.025042967,0.032087701,0.043034493,0.79240235,1.8791716
0.91426114,1.4036533,0.47247143,0.037179734,0.081529531,0.023543866,0.06526316,0.68907334,2.5130176
0.90730328,1.4711137,0.47120746,0.037798951,0.076959532,0.031748811,0.044683456,0.86571873,2.4975962
0.85646308,2.0194111,0.45375467,0.051099514,0.03242512,0.028164278,0.053143159,1.1713173,2.3399923
0.81267844,2.0014855,0.42437669,0.043154917,0.036344268,0.037355698,0.073615348,1.1965411,2.2138672
0.8046185,1.4576427,0.36029146,0.040585624,0.042547506,0.01600507,0.036698444,0.55386454,2.0604996
0.74884832,1.4404413,0.4022264,0.045760733,0.10226287,0.041388282,0.060671484,0.89568684,1.9726948
0.79910295,1.3852479,0.39865314,0.039901943,0.038489874,0.049078347,0.12489645,0.77129808,2.1013483
0.68825192,1.5278255,0.33611653,0.041425189,0.017920223,0.0199631,0.026952343,0.52602422,1.7607161
0.89882659,1.8189569,0.40380863,0.038584869,0.043003875,0.020368167,0.10633128,0.90401664,2.386534
0.87967633,1.6945082,0.39982501,0.04233191,0.020616283,0.020729401,0.029967848,1.4029862,2.3097114
0.86514956,1.4901173,0.3899584,0.042448349,0.030944097,0.0059662059,0.060293045,1.368079,2.2434806
0.81112919,1.676725,0.3870113,0.037845918,0.046262908,0.05109589,0.034441806,0.59056743,2.1410428
0.78744609,1.7000202,0.37193593,0.039182558,0.050811817,0.03877158,0.049544339,0.40736355,2.058656
0.82141922,1.8094037,0.3462326,0.046618019,0.02033915,0.0093944194,0.062152382,0.76949898,2.0815448
0.72592648,1.5881497,0.37737051,0.041049221,0.062705327,0.040788069,0.039631657,0.70009732,1.9090379
0.7965236,2.1645861,0.41460875,0.049494578,0.028376354,0.026771339,0.036121216,0.82013671,2.1497964
0.75720464,2.0949812,0.42826016,0.038245409,0.018559894,0.022148505,0.13731582,1.8676661,2.1136322
0.89240612,1.6976024,0.42115661,0.031617724,0.087622153,0.023816561,0.015642211,0.52166425,2.4210739
0.92488813,1.5369182,0.37651234,0.04360301,0.044719554,0.025430922,0.014273099,0.66189942,2.3610185
0.95018806,1.5579582,0.38105807,0.050849195,0.022194622,0.02035613,0.013223867,0.44697849,2.4024492
0.87357376,1.3564538,0.46458845,0.04105502,0.04926589,0.010345593,0.013420796,0.86925985,2.3767403
0.75334866,1.5596113,0.47963358,0.048900949,0.03214426,0.0073480389,0.017910027,0.70203871,2.0939135
0.92605317,1.6111572,0.32033528,0.024550934,0.045978813,0.023004192,0.020774946,0.7926047,2.3386484
0.90833361,1.7211153,0.38789485,0.026172643,0.04471115,0.022660312,0.017722673,0.92196687,2.4231917
0.76094318,1.5704459,0.4120235,0.048169459,0.034834072,0.016869835,0.13618441,0.79048763,2.0176762
0.73818575,1.5692857,0.39999921,0.050936591,0.049918063,0.015069179,0.076929285,0.8565244,1.9387375
0.79683634,1.6570224,0.37096766,0.052523553,0.098801545,0.052994923,0.041111403,0.70258136,2.0351686
0.81670076,1.3662784,0.3423402,0.051631943,0.081673393,0.036610146,0.047831678,0.76760898,2.0253893
0.86318111,1.8914668,0.37551075,0.029387118,0.017569633,0.013604528,0.033893869,0.97204858,2.2917028
0.78583997,1.4529434,0.40884985,0.045054932,0.026695955,0.033408003,0.049959873,0.76678366,2.0728104
