parameter,value,log_lik,identifiable
beta_I,0.42,-59.681627,True
beta_I,0.46,-58.809495,True
beta_I,0.5,-58.001429,True
beta_I,0.54,-57.251098,True
beta_I,0.58,-56.553652,True
beta_I,0.62,-55.905331,True
beta_I,0.66,-55.303347,True
beta_I,0.7,-54.745631,True
beta_I,0.74,-54.230556,True
beta_I,0.78,-53.757258,True
beta_I,0.82,-53.325108,True
beta_I,0.86,-52.933645,True
beta_I,0.9,-52.582808,True
beta_I,0.94,-52.272497,True
beta_I,0.98,-52.002824,True
beta_I,1.02,-51.772904,True
beta_I,1.06,-51.582906,True
beta_I,1.1,-51.431702,True
beta_I,1.14,-51.318055,True
beta_I,1.18,-51.240196,True
beta_FR,0.52,-53.89612,False
beta_FR,0.67579,-53.868565,False
beta_FR,0.83158,-53.841195,False
beta_FR,0.98737,-53.813888,False
beta_FR,1.14316,-53.78684,False
beta_FR,1.29895,-53.75984,False
beta_FR,1.45474,-53.732772,False
beta_FR,1.61053,-53.706341,False
beta_FR,1.76632,-53.679244,False
beta_FR,1.92211,-53.652747,False
beta_FR,2.07789,-53.626354,False
beta_FR,2.23368,-53.601458,False
beta_FR,2.38947,-53.573772,False
beta_FR,2.54526,-53.547556,False
beta_FR,2.70105,-53.521585,False
beta_FR,2.85684,-53.496777,False
beta_FR,3.01263,-53.470257,False
beta_FR,3.16842,-53.444712,False
beta_FR,3.32421,-53.504765,False
beta_FR,3.48,-53.393899,False
phi0,0.16,-54.698623,True
phi0,0.18737,-54.575452,True
phi0,0.21474,-54.452678,True
phi0,0.24211,-54.330483,True
phi0,0.26947,-54.208996,True
phi0,0.29684,-54.088529,True
phi0,0.32421,-53.968904,True
phi0,0.35158,-53.850588,True
phi0,0.37895,-53.733638,True
phi0,0.40632,-53.618162,True
phi0,0.43368,-53.504332,True
phi0,0.46105,-53.392243,True
phi0,0.48842,-53.282059,True
phi0,0.51579,-53.173849,True
phi0,0.54316,-53.067777,True
phi0,0.57053,-52.963918,True
phi0,0.59789,-52.862384,True
phi0,0.62526,-52.763287,True
phi0,0.65263,-52.666692,True
phi0,0.68,-52.572709,True
alpha,0.01,-48.803146,False
alpha,0.01684,-48.797482,False
alpha,0.02368,-48.79179,False
alpha,0.03053,-48.786074,False
alpha,0.03737,-48.780336,False
alpha,0.04421,-48.774579,False
alpha,0.05105,-48.768802,False
alpha,0.05789,-48.763017,False
alpha,0.06474,-48.757209,False
alpha,0.07158,-48.751403,False
alpha,0.07842,-48.745576,False
alpha,0.08526,-48.739752,False
alpha,0.09211,-48.733925,False
alpha,0.09895,-48.728104,False
alpha,0.10579,-48.722274,False
alpha,0.11263,-48.716455,False
alpha,0.11947,-48.710836,False
alpha,0.12632,-48.704866,False
alpha,0.13316,-48.69905,False
alpha,0.14,-48.693275,False
delta_C,0.02,-49.021122,False
delta_C,0.09684,-48.974871,False
delta_C,0.17368,-48.932775,False
delta_C,0.25053,-48.89447,False
delta_C,0.32737,-48.858201,False
delta_C,0.40421,-48.825439,False
delta_C,0.48105,-48.795327,False
delta_C,0.55789,-48.767209,False
delta_C,0.63474,-48.74162,False
delta_C,0.71158,-48.717621,False
delta_C,0.78842,-48.69531,False
delta_C,0.86526,-48.674399,False
delta_C,0.94211,-48.655121,False
delta_C,1.01895,-48.636968,False
delta_C,1.09579,-48.62001,False
delta_C,1.17263,-48.604493,False
delta_C,1.24947,-48.589252,False
delta_C,1.32632,-48.575236,False
delta_C,1.40316,-48.562034,False
delta_C,1.48,-48.54958,False
